[2, 0];[0, 195.43564937020105];[1, 207.55857791898708];[11, 220.97689458893694];[12, 249.77923776701158];[13, 267.4664221061832];[15, 5225.134691188814];[10, 725238.0038468685];[8, 1445254.7313667352];[18, 2165273.6368013243];[3, 2885287.531244034];[9, 3605304.167513959];[16, 4325322.816130088];[14, 5045331.0757312905];[17, 5765366.207502083];[6, 6485395.4265545];[5, 7205404.933493595];[4, 7925437.602795678];[7, 8645466.173021717],
[1, 0];[9, 256.15079718126816];[2, 262.7602311742538];[13, 276.5271145998525];[12, 299.2142989390241];[11, 309.01664211709874];[0, 608.4675489787409];[14, 615.0486878088251];[6, 626.0161924054811];[10, 640.688604491179];[5, 720656.720439737];[3, 1440669.2158086775];[17, 2160699.6358904154];[16, 2880734.1119871344];[15, 3600745.450252758];[8, 4320755.917325914];[4, 5040786.829168981];[18, 5760825.980079982];[7, 6480843.982483607],
[4, 0];[17, 7.416666666666666];[10, 276.0755472884168];[2, 284.81906019595283];[1, 299.75496590314543];[11, 313.17328257309526];[12, 382.9756257511699];[6, 393.23522695377125];[5, 407.74216604810124];[16, 417.19307290974336];[0, 423.96083986270975];[15, 437.2608660680957];[18, 452.47659468191034];[9, 503.2379349362071];[8, 579.7778697741817];[14, 591.1161353974505];[3, 601.897451087768];[13, 720615.17727932];[7, 1440630.8754749103],
[4, 0];[17, 7.416666666666666];[11, 152.80900718308058];[14, 249.84099731754822];[2, 263.6955316236412];[13, 278.4624150492399];[12, 302.1495993884115];[1, 315.51951907473796];[0, 512.642447623524];[5, 521.2604965145395];[6, 530.7674356088694];[9, 550.5183771984011];[10, 560.6262415053085];[18, 567.9729294786966];[15, 583.1886580925113];[8, 593.6557312481302];[16, 602.7594219988786];[3, 720615.1985266344];[7, 1440624.8718849318],
[4, 0];[17, 7.416666666666666];[13, 277.9313815112109];[2, 288.69826493680955];[11, 306.5847889056694];[1, 320.00310557561926];[0, 465.1260341244053];[16, 471.8938010773717];[5, 479.3447079390138];[6, 488.8516470333438];[15, 495.9811357565406];[9, 516.9581453418718];[18, 524.7194855961686];[10, 533.0661735695568];[3, 553.636836482164];[14, 565.4181521724814];[8, 578.7564177957503];[12, 1781.708980214727];[7, 721789.4297848344],
[4, 0];[17, 7.416666666666666];[18, 248.20625250477823];[2, 254.70856553622156];[13, 267.47544896182023];[11, 280.158402676231];[1, 293.5767193461808];[12, 325.9466390325073];[0, 421.4327352732706];[16, 428.200502226237];[5, 435.65140908787913];[6, 445.1583481822091];[15, 452.2878369054059];[9, 514.2648464907371];[10, 527.3727107976445];[14, 546.5416293054184];[8, 563.8798949286872];[3, 576.0775025559169];[7, 608.7508608535202],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[1, 281.48917060028566];[11, 294.9074872702355];[13, 332.59044098464625];[0, 391.92963047786003];[18, 406.51006482199193];[2, 413.0123778534353];[16, 431.05166539234074];[5, 438.50257225398286];[6, 448.00951134831286];[15, 455.13900007150966];[9, 510.11600965684084];[10, 525.2238739637481];[3, 552.7945368763553];[14, 564.5758525666728];[8, 577.9141181899416];[7, 607.532167080957],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[11, 277.92159409203384];[1, 291.3399107619837];[2, 306.2758164691763];[13, 362.04269989477496];[0, 375.38188938798874];[5, 399.99993827900414];[6, 409.50687737333413];[15, 425.6363660965309];[16, 436.9746317197997];[18, 453.234503931429];[9, 501.9958441857258];[10, 521.1037084926331];[3, 553.6743714052403];[14, 565.4556870955578];[8, 578.7939527188266];[7, 607.412001609842],
[17, 0];[0, 214.4053330386022];[11, 221.85623990024433];[4, 255.51818234042875];[12, 285.4779286755727];[2, 306.5091482174541];[1, 321.4450539246467];[13, 429.0928699623652];[16, 440.7517195460229];[5, 448.20262640766504];[6, 457.70956550199503];[15, 464.83905422519183];[18, 480.05478283900646];[9, 495.8161230933033];[10, 520.9239874002106];[3, 553.4946503128178];[14, 565.2759660031353];[8, 578.6142316264041];[7, 607.2322805174196],
[4, 0];[17, 7.416666666666666];[6, 268.63571908413337];[12, 279.8953202867347];[11, 289.69766346480935];[1, 303.1159801347592];[2, 318.0518858419518];[13, 408.81876926755046];[0, 419.15795876076425];[16, 425.9257257137306];[5, 433.37663257537275];[15, 445.33598563496645];[18, 460.5517142487811];[9, 496.31305450307786];[10, 520.4209188099852];[14, 545.5898373177591];[3, 559.3711530080766];[8, 574.5687606353063];[7, 607.1868095263217],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[11, 277.92159409203384];[2, 295.8081180608937];[13, 332.5750014864924];[0, 391.9141909797062];[16, 416.68195793267256];[5, 425.1328647943147];[1, 438.8669773549714];[15, 447.8773759996695];[6, 455.0068647228663];[9, 512.7578063123981];[18, 520.5191465666949];[10, 529.865834540083];[3, 552.4364974526902];[14, 564.2178131430077];[8, 577.5560787662765];[7, 607.1741276572919],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[11, 277.92159409203384];[13, 299.6045478064446];[2, 310.3714312320433];[1, 325.3073369392359];[0, 425.4302654880219];[5, 434.0483143790373];[16, 441.49922124067945];[15, 452.83748686394824];[6, 459.96697558714504];[9, 508.7179171766768];[18, 516.4792574309736];[10, 526.8259454043617];[3, 552.3966083169689];[14, 564.1779240072864];[8, 577.5161896305552];[7, 607.1342385215706],
[1, 0];[15, 188.01039864469809];[17, 229.86022538230108];[4, 235.27689204896774];[13, 278.1148432937527];[2, 288.8817267193514];[12, 323.9129462612328];[11, 333.7152894393074];[0, 385.16619630094954];[16, 430.9339632539159];[5, 438.38487011555804];[18, 456.4642219513504];[9, 499.2255622056472];[10, 521.3334265125545];[14, 545.5023450203284];[8, 562.8406106435973];[3, 575.038218270827];[6, 583.9690437425172];[7, 606.0231362959066],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[11, 277.92159409203384];[1, 291.3399107619837];[2, 306.2758164691763];[13, 362.04269989477496];[18, 382.50977305039385];[15, 453.7255016642085];[5, 464.6848547238022];[16, 472.1357615854443];[0, 478.9035285384107];[9, 504.94656479270395];[10, 523.0544290996113];[14, 545.2233476073852];[3, 559.0046632977027];[8, 574.2022709249325];[6, 582.7817261907516];[7, 605.835818744141],
[4, 0];[17, 7.416666666666666];[12, 268.1192509139592];[11, 277.92159409203384];[13, 299.6045478064446];[2, 310.3714312320433];[1, 325.3073369392359];[0, 425.4302654880219];[16, 432.1980324409883];[5, 439.6489393026304];[15, 451.6082923622241];[18, 466.82402097603875];[9, 493.5853612303356];[10, 521.6932255372429];[14, 544.8621440450169];[3, 558.6434597353343];[8, 573.841067362564];[6, 582.4205226283831];[7, 605.4746151817725],
[4, 0];[17, 7.416666666666666];[8, 274.0706137313973];[12, 286.02317615037396];[11, 295.8255193284486];[1, 309.2438359983984];[2, 324.179741705591];[13, 441.94662513118965];[0, 452.28581462440343];[16, 459.0535815773698];[5, 466.50448843901194];[15, 477.46384149860563];[18, 492.67957011242027];[9, 504.4409103667171];[10, 522.5487746736244];[3, 553.1194375862316];[14, 564.900753276549];[6, 575.868257873205];[7, 604.9223504265944],
