[1, 0];[11, 133.41831666994986];[17, 156.4185095701508];[4, 168.77553217410596];[12, 258.53588181436663];[13, 278.22306615353824];[2, 288.9899495791369];[6, 4181.2611590191245];[15, 724188.3906477423];[16, 1444199.7289133656];[3, 2164212.168018001];[8, 2884224.3656256283];[14, 3604235.7038912517];[0, 4324242.285030082];[18, 5044256.865464426];[10, 5764264.212152399];[5, 6484280.243987645];[9, 7204300.857372217];[7, 7924321.615306726],
[2, 0];[6, 258.271209439987];[1, 268.3879032509899];[11, 281.8062199209397];[12, 300.60856309901436];[13, 351.29574743818597];[18, 388.76282059380486];[0, 403.34325493793676];[16, 414.11102189090315];[15, 432.44928751417194];[5, 443.40864057376564];[9, 534.0220251452728];[3, 558.6582950707161];[14, 569.4396107610336];[8, 581.7778763843024];[10, 598.5053962509334];[17, 720625.7889228021];[4, 1440633.145945406];[7, 2160651.163028199],
[2, 0];[18, 216.50231303144332];[1, 229.9683399101575];[4, 250.21856759516092];[17, 257.57559019911605];[12, 276.8635337738173];[11, 286.66587695189196];[13, 315.3488306663027];[0, 512.6880201595166];[6, 522.8948532767877];[3, 549.8256787484779];[15, 556.6284543862099];[16, 567.9667200094788];[14, 576.22632121208];[5, 586.4070815595366];[8, 593.1748485125029];[9, 614.7147833504774];[10, 624.8226476573848];[7, 642.4893143240514],
[2, 0];[15, 196.56293167362364];[17, 216.46935273600104];[4, 223.8263753399562];[13, 267.9925923619715];[11, 280.67554607638226];[1, 294.0938627463321];[12, 326.4637824326586];[0, 418.94987867342195];[16, 425.71764562638833];[5, 433.16855248803046];[6, 442.67549158236045];[18, 459.6757809307239];[9, 496.4371211850207];[10, 520.5449854919281];[3, 554.1156484045352];[14, 565.8969640948527];[8, 579.2352297181216];[7, 607.853278609137],
[2, 0];[18, 216.50231303144332];[17, 246.05172465598355];[4, 253.4087472599387];[12, 273.1690969001994];[1, 286.53901658652586];[11, 299.9573332564757];[13, 344.64028697088645];[0, 371.97947646410023];[6, 390.18630958137135];[16, 422.8345639823149];[15, 437.1728296055837];[5, 448.13218266517737];[9, 522.7455672366846];[10, 534.8534315435919];[14, 550.0223500513658];[3, 562.8036657416833];[8, 577.001273368913];[7, 607.6193222599284],
[1, 0];[11, 133.41831666994986];[17, 156.4185095701508];[4, 168.77553217410596];[16, 265.09341393053967];[12, 278.0609185271957];[2, 299.0921380690771];[13, 340.85902149467574];[5, 459.7791921457589];[6, 469.2861312400889];[15, 476.4156199632857];[0, 486.71564616867164];[18, 501.29608051280354];[9, 511.0574207671004];[10, 526.1652850740077];[3, 552.7359479866149];[14, 564.5172636769323];[8, 577.8555293002012];[7, 607.4735781912166],
[2, 0];[11, 137.88652396885988];[1, 155.30484063880974];[17, 176.38838986015872];[4, 183.74541246411388];[16, 275.0632942205476];[12, 291.0307988172037];[13, 327.7179831563753];[0, 411.05717264958906];[5, 420.67522154060447];[6, 430.18216063493446];[15, 439.31164935813126];[18, 454.5273779719459];[9, 501.28871822624274];[10, 521.3965825331501];[14, 545.565501040924];[3, 559.3468167312415];[8, 574.5444243584711];[7, 607.1624732494865],
[4, 0];[11, 143.2834548765331];[1, 158.70177154648297];[17, 179.78532076783196];[16, 270.8862951467013];[13, 288.54514473035897];[2, 299.31202815595765];[12, 347.34324769783905];[18, 404.2067469867384];[5, 424.28609882253073];[0, 432.90414771354614];[6, 443.11098083081725];[15, 450.24046955401406];[9, 517.2174791393452];[10, 530.3253434462525];[14, 547.4942619540265];[3, 561.2755776443439];[8, 575.4731852715736];[7, 607.091234162589],
[17, 0];[0, 204.12822231387142];[11, 211.57912917551354];[1, 224.9974458454634];[4, 245.2476735304668];[2, 279.40412841231023];[12, 307.4353479541916];[13, 372.12253229336324];[6, 394.7751801741839];[5, 408.2821192685139];[16, 417.733026130156];[18, 433.99289834178535];[15, 450.2086269556];[9, 517.1856365409312];[10, 530.2935008478386];[14, 547.4624193556125];[3, 561.24373504593];[8, 575.4413426731596];[7, 607.059391564175],
[17, 0];[11, 143.00019290020094];[1, 158.4185095701508];[4, 182.6687372551542];[14, 281.4691300683172];[12, 302.2517674390576];[2, 323.282986980939];[13, 437.0498704065376];[0, 447.3890598997514];[6, 457.5958930170225];[5, 467.1028321113525];[16, 474.5537389729946];[18, 490.81361118462394];[9, 502.5749514389208];[10, 521.6828157458281];[3, 553.2534786584353];[8, 569.451086285665];[15, 579.9181594412839];[7, 606.8490770071288],
[1, 0];[11, 133.41831666994986];[17, 156.4185095701508];[4, 168.77553217410596];[16, 265.09341393053967];[13, 280.75226351419735];[2, 291.51914693979603];[12, 328.55036648167743];[0, 408.0364627224408];[5, 418.6545116134562];[15, 434.6138646730499];[18, 449.8295932868645];[9, 507.59093354116135];[10, 523.6987978480687];[14, 545.8677163558426];[3, 559.6490320461601];[8, 574.8466396733897];[6, 583.4260949392088];[7, 605.4801874925982],
