ID,Name,OpeningTime,ClosingTime,Popularity,PosX,PosY,PeakTime
1,Cafe Bulten,180,600,5,2395,-2319,200
2,J.A. Pripps,0,600,3,2310,-2328,10
3,Wijkanders,0,420,3,2356,-2438,0
4,Gasque,300,600,4,2322,-2319,350
5,Kajsabaren,120,600,1,2401,-2276,150
6,Roda Rummet,240,720,1,2347,-2279,260
7,V-entrén,240,720,1,2343,-2267,300
8,Basen,240,600,1,2386,-2261,280
9,Golden-I,240,720,2,2349,-2456,260
10,Focus,240,720,1,2343,-2395,320
11,Hubben 2.2,120,660,3,2404,-2291,550
12,Fort NOx,240,600,1,2368,-2246,480
13,Gastown & Spritkoket,240,600,2,2398,-2383,500
14,Winden,240,720,3,2389,-2337,350
15,Jarnvagspub,180,600,1,2334,-2301,220
16,Zaloonen,240,600,3,2410,-2304,290
17,Kalle Glader,210,570,1,2346,-2423,220
