Name,ID,,OpeningTime,ClosingTime,Popularity,PosX,PosY,
Cafe Bulten,1,,180,600,120,2395,-2319,
J.A. Pripps,2,,0,600,30,2310,-2328,
Wijkanders,3,,0,420,30,2356,-2438,
Gasque,4,,300,600,75,2322,--2319,
Cafe C (Lindholmen),5,,0,270,60,61,-24,
Kajsabaren,6,,120,600,120,2401,-2276,
Röda Rummet,7,,240,720,60,2347,2279,
V-entrén,8,,240,720,90,2343,-2267,
Basen,9,,240,600,90,2386,-2261,
Golden-I,8,,240,720,75,2349,-2456,
Focus,9,,240,720,75,2343,-2395,
Hubben 2.2,10,,120,660,45,2404,-2291,
Fort NOx,11,,240,600,60,2368,-2246,
Gastown & Spritköket,12,,240,600,60,2398,-2383,
Winden,13,,240,720,60,2389,-2337,
Järnvägspub,14,,180,600,75,2334,-2301,
Zaloonen,15,,240,600,60,2410,-2304,
11:an,16,,0,270,60,0,0,
Kalle Glader,17,,210,570,60,2346,-2423,
