1;2;9;12;11;17;0;5;6;16;18;15;8;7;3;14;10;13;4,[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[12, 253.19449998045351];[11, 258.8863141237536];[17, 303.7521935745995];[0, 348.7730164139914];[5, 424.2942239373069];[6, 429.9434828704637];[16, 435.7571569738409];[18, 442.3792274004862];[15, 448.8508809823082];[8, 944.6384545461428];[7, 8150.159662069458];[3, 15355.832894957468];[14, 22561.665737553914];[10, 29767.55441729093];[13, 36973.230214071];[4, 44218.09347798146],44218.09347798146
1;2;18;11;17;4;13;0;12;5;9;6;15;16;10;3;14;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[13, 325.89469646852785];[0, 331.6638474159296];[12, 494.59821902324245];[5, 500.1336116551987];[9, 509.3828387243234];[6, 516.5078243074493];[15, 521.8145933912231];[16, 527.7276688711657];[10, 535.0842646057652];[3, 548.0308186868131];[14, 554.8636612832573];[8, 564.7767367632];[7, 607.2979442865155],607.2979442865155
1;2;18;11;17;4;12;0;13;5;6;15;16;9;10;8;3;14;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[5, 470.47196141527075];[6, 476.1212203484275];[15, 481.4279894322014];[16, 487.3410649121441];[9, 499.30725210952215];[10, 517.0430789004332];[8, 552.7325175366825];[3, 560.7693877831022];[14, 566.6022303795464];[7, 606.6077713923374],606.6077713923374
17;1;2;10;11;12;13;4;0;6;5;15;16;18;9;8;14;3;7,[17, 0];[1, 44.37077970559351];[2, 95.80212266461285];[10, 245.34140423592657];[11, 251.78881698553658];[12, 258.48063112883665];[13, 268.1642591248758];[4, 314.02752303533487];[0, 358.32300273361847];[6, 403.0730867361065];[5, 410.7223456692633];[15, 424.58083590593947];[16, 430.49391138588214];[18, 437.1159818125274];[9, 538.5137739259916];[8, 554.8964776241392];[14, 560.8095531040818];[3, 567.6423957005261];[7, 606.3156285885361],606.3156285885361
4;2;1;16;11;13;12;17;0;5;6;18;15;9;14;10;8;3;7,[4, 0];[2, 45.9859408862011];[1, 52.41728384522044];[16, 245.65185384591024];[11, 250.82373645171188];[13, 257.93052450180704];[12, 265.6141524978462];[17, 309.79459660128845];[0, 354.81541944068033];[5, 411.33662696399585];[6, 416.9858858971526];[18, 423.7146190565807];[15, 433.1862726384027];[9, 556.0557097935525];[14, 562.5628264967914];[10, 568.4515062338057];[8, 576.140944870055];[3, 582.1778151164747];[7, 604.8510480044847],604.8510480044847
1;2;18;11;17;4;13;0;12;16;10;6;5;14;9;15;3;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[13, 325.89469646852785];[0, 331.6638474159296];[12, 494.59821902324245];[16, 500.45788355097204];[10, 517.8144792855715];[6, 524.2078639797896];[5, 529.8571229129465];[14, 542.6034509341887];[9, 549.1105676374276];[15, 555.9800047925773];[3, 562.2397083658401];[8, 570.2765786122598];[7, 604.7977861355753],604.7977861355753
4;1;12;13;17;11;2;0;6;18;16;5;15;9;10;14;8;3;7,[4, 0];[1, 43.65176549845404];[12, 245.8575162335791];[13, 253.54114422961823];[17, 299.1257079689766];[11, 343.9915874198225];[2, 350.84798943214327];[0, 357.3513242753895];[6, 406.10140827787757];[18, 412.83014143730566];[16, 420.45221186395094];[5, 425.80528368075414];[15, 433.6637739174303];[9, 553.5332110725801];[10, 559.2690378634911];[14, 565.1577176005054];[8, 573.0707930804481];[3, 579.1076633268677];[7, 604.7808962148778],604.7808962148778
2;1;18;11;17;4;13;0;12;6;9;5;15;10;16;14;3;8;7,[2, 0];[1, 6.43134295901934];[18, 215.6509386678377];[11, 222.3817963209199];[17, 267.2476757717658];[4, 275.03460862250154];[13, 327.8978725329606];[0, 333.66702348036233];[12, 513.6013950876752];[6, 519.0709654890103];[9, 526.1959510721362];[5, 533.4451781412608];[15, 539.303668377937];[10, 545.4372802405567];[16, 551.7938759751561];[14, 558.2634463764912];[3, 565.0962889729354];[8, 573.1331592193551];[7, 604.6543667426706],604.6543667426706
17;2;1;16;11;12;13;4;0;6;18;5;15;9;10;14;8;3;7,[17, 0];[2, 46.70066941151359];[1, 53.13201237053293];[16, 245.3665823712227];[11, 250.53846497702435];[12, 256.23027912032444];[13, 264.9139071163636];[4, 311.77717102682266];[0, 356.07265072510626];[6, 410.8227347275943];[18, 417.5514678870224];[5, 425.43564822351107];[15, 434.29413846018724];[9, 551.163575615337];[10, 556.899402406248];[14, 562.7880821432623];[8, 570.701157623205];[3, 576.7380278696246];[7, 604.4112607576346],604.4112607576346
1;2;18;11;17;4;12;0;13;15;16;5;9;6;14;10;3;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[15, 470.4356730740771];[16, 476.3487485540198];[5, 481.701820370823];[9, 496.9510474399477];[6, 504.0760330230735];[14, 551.9356975508031];[10, 557.8243772878174];[3, 564.7709313688651];[8, 572.8078016152848];[7, 604.3290091386003],604.3290091386003
