[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[11, 252.75113262558702];[12, 259.4429467688871];[13, 269.12657476492626];[14, 1810.689265840329];[15, 721816.478393256];[6, 1441821.7851623397];[3, 2161827.351427714];[0, 2881833.227778254];[16, 3601838.4824385596];[5, 4321843.835510377];[8, 5041849.090170682];[4, 5761869.770351024];[17, 6481875.109898098];[10, 7201902.393424649];[18, 7921907.73148294];[7, 8641914.6045783],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[9, 249.91342187950687];[13, 256.9688890891267];[12, 264.65251708516587];[11, 270.34433122846593];[5, 2099.5279693862185];[0, 722105.0491769095];[14, 1442110.276952011];[16, 2162115.7465224126];[6, 2882121.560196516];[3, 3602127.12646189];[15, 4322132.386165463];[8, 5042138.173739027];[10, 5762144.863177664];[18, 6482150.201235956];[17, 7202179.75064758];[7, 7922197.767730374],
[2, 0];[1, 6.43134295901934];[15, 185.86501383220514];[17, 205.77143489458254];[11, 228.77162779478348];[4, 252.0550826713166];[12, 271.8154323115773];[13, 284.49906030761645];[14, 2745.0617513830193];[16, 722750.5313217844];[0, 1442755.7859820896];[8, 2162761.4905934026];[6, 2882767.00624122];[5, 3602772.655500153];[10, 4322779.244720116];[9, 5042784.9805469075];[18, 5762790.378339021];[3, 6482796.659651295];[7, 7202802.332884183],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[18, 214.7313118247539];[11, 221.4621694778361];[4, 244.74562435436923];[12, 263.5059739946299];[13, 274.1896019906691];[14, 2091.7522930660716];[0, 722096.9800681677];[10, 1442103.0855533474];[3, 2162109.0321074286];[15, 2882114.291811002];[6, 3602119.5985800857];[5, 4322125.247839019];[8, 5042130.502499324];[16, 5762136.093667259];[9, 6482143.059854457];[7, 7202150.329905047],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[18, 214.89799028840832];[11, 221.62884794149053];[17, 244.62904084169148];[12, 262.9169844163927];[13, 273.6006124124319];[14, 2058.1633034878346];[8, 722064.0763789677];[5, 1442069.3310392732];[16, 2162074.68411109];[0, 2882079.938771395];[6, 3602085.6888553975];[15, 4322090.995624481];[3, 5042096.255328054];[10, 5762102.201882135];[9, 6482107.937708926];[7, 7202115.207759516],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[2, 314.91603642591303];[11, 321.7724384382338];[0, 443.125510255037];[15, 448.8890194322835];[18, 455.3606730141055];[16, 461.98274344075077];[5, 467.335815257554];[6, 472.98507419071075];[12, 6429.454644592046];[8, 726434.735926093];[13, 1446441.2075796747];[14, 2166446.77027075];[10, 2886452.658950487];[9, 3606458.394777278];[17, 4326490.617750623];[7, 5046508.634833416],
[4, 0];[1, 20.25022768500341];[16, 245.4847976856932];[17, 269.5857720645625];[11, 292.58596496476343];[12, 316.2777791080635];[2, 324.58719848984714];[13, 439.4179620085408];[18, 445.2055355723755];[0, 451.58567017177023];[5, 457.10687769508576];[6, 462.75613662824253];[15, 468.0629057120164];[9, 492.93234286716614];[10, 516.6681696580772];[14, 540.5568493950915];[3, 551.3896919915358];[8, 561.4265622379554];[7, 609.9477697612709],
[4, 0];[1, 20.25022768500341];[15, 188.6838985581892];[17, 208.59031962056662];[11, 231.59051252076756];[12, 245.28232666406763];[13, 252.96595466010675];[2, 459.79671817880046];[18, 465.01313782318607];[0, 471.3932724225808];[16, 476.64793272793014];[6, 482.46160683130734];[5, 488.1108657644641];[9, 500.3600928335888];[10, 517.0959196244999];[14, 539.9845993615141];[8, 554.8976748414568];[3, 561.9345450878765];[7, 609.6077779758865],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[10, 535.1588456041643];[0, 541.2643307838254];[16, 546.5189910891746];[6, 552.3326651925519];[5, 557.9819241257087];[14, 563.7282521469509];[8, 571.6413276268936];[3, 577.6781978733133];[7, 604.3514307613233],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[10, 535.1588456041643];[0, 541.2643307838254];[16, 546.5189910891746];[6, 552.3326651925519];[5, 557.9819241257087];[14, 563.7282521469509];[3, 569.5610947433952];[8, 576.5979649898148];[7, 604.1191725131304],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[5, 535.672245882378];[16, 541.0253176991812];[0, 546.2799780045304];[10, 552.3854631841915];[14, 559.2741429212058];[3, 566.1069855176501];[8, 574.1438557640697];[6, 579.6595035814746];[7, 603.8113536491898],
