[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[18, 214.89799028840832];[11, 221.62884794149053];[17, 244.62904084169148];[13, 274.1581304023939];[12, 285.84175839843306];[8, 9259.123039899367];[0, 16464.827651212254];[14, 23670.055426313826];[16, 30875.52499671516];[5, 38080.878068531965];[6, 45286.52732746512];[15, 52491.83409654889];[3, 59697.09380012215];[10, 66903.0403542032];[9, 74108.77618099411];[7, 81316.04623158369],
[17, 0];[2, 32.01415213131328];[1, 38.44549509033262];[15, 200.87916596351843];[11, 206.7280336480161];[4, 232.0114885245492];[13, 267.1777055465645];[12, 276.86133354260363];[6, 5456.330903943938];[14, 12662.190568471668];[0, 19867.41834357324];[10, 27073.523828752903];[18, 34278.86188704439];[9, 41484.259679157854];[3, 48690.935972544474];[16, 55897.007632275876];[8, 63102.598800211155];[5, 70307.8534605165];[7, 77513.5580718294],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[16, 246.24924332642914];[11, 251.42112593223078];[13, 258.52791398232597];[4, 286.6941310043413];[12, 317.454480644602];[6, 1399.9240510459372];[8, 8605.439698863342];[5, 15810.69435916869];[0, 23016.215566692008];[14, 30221.44334179358];[15, 37427.232469209164];[3, 44632.492172782426];[18, 51838.77348505749];[10, 59044.111543348976];[9, 66249.84737013989];[7, 73457.11742072947],
[2, 0];[1, 6.43134295901934];[6, 245.16844170730306];[13, 252.55897921714518];[17, 281.0880687778476];[11, 304.0882616780485];[12, 345.7800758213486];[0, 366.71444742866146];[18, 380.0945820280562];[5, 398.9787623645449];[16, 412.3318341813481];[15, 426.24490966129076];[4, 7645.745149122915];[10, 14872.216059676499];[8, 22078.90549831275];[3, 29284.94236855917];[14, 36490.77521115561];[9, 43697.28232785885];[7, 50904.552378448425],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[14, 245.79045534571185];[12, 251.91160358639473];[4, 270.67195322665543];[11, 293.9554081031885];[13, 323.0621961532837];[5, 572.3472147344721];[0, 577.8684222577876];[8, 584.5730335706726];[6, 590.0886813880775];[3, 595.6549467621505];[10, 601.6015008431983];[9, 607.3373276341093];[18, 7812.735119747573];[15, 15019.206773329395];[16, 22225.119848809336];[7, 29431.038667206365],
[1, 0];[2, 7.43134295901934];[14, 245.70690612436286];[12, 251.82805436504574];[11, 257.51986850834584];[4, 280.8033233848789];[13, 319.9695404068942];[0, 458.73869135429595];[18, 465.1188259536907];[16, 471.740896380336];[15, 477.65397186027866];[5, 483.51246209695483];[6, 489.1617210301116];[9, 501.2867066132374];[10, 517.0225334041485];[8, 552.7119720403978];[3, 560.7488422868174];[17, 7781.5217533124405];[7, 14999.538836105618],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[17, 244.19717422794514];[11, 267.1973671281461];[4, 290.48082200467917];[13, 337.6470390266945];[0, 375.4161899740962];[6, 386.16627397658425];[5, 399.815532909741];[15, 423.6740231464172];[16, 429.5870986263599];[9, 574.553285823738];[10, 580.289112614649];[3, 586.2356666956968];[8, 592.2725369421164];[14, 598.1856124220591];[12, 1200.306760662742];[7, 8405.698713309015],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[9, 249.91342187950687];[13, 256.9688890891267];[11, 263.0756771392219];[17, 286.07587003942285];[12, 315.3638136141241];[0, 508.29818522143694];[16, 513.5528455267862];[15, 519.4659210067289];[5, 525.324411243405];[10, 532.9136312067752];[6, 539.3070159009934];[3, 549.8732812750665];[18, 556.1545935501326];[8, 566.1577774045015];[14, 572.0708528844442];[7, 605.0763938972352],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[9, 250.74674341585245];[11, 257.834681846936];[12, 264.52649599023607];[4, 283.28684563049677];[13, 324.4530626525121];[18, 528.2406362163467];[15, 534.7122897981687];[5, 540.5707800348449];[10, 547.1599999982151];[16, 553.5165957328145];[0, 558.7712560381638];[14, 563.9990311397365];[8, 571.9121066196792];[3, 577.9489768660989];[6, 583.5152422401719];[7, 604.6670923078871],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[9, 250.74674341585245];[11, 257.834681846936];[12, 264.52649599023607];[4, 283.28684563049677];[13, 324.4530626525121];[18, 528.2406362163467];[10, 534.5786945078312];[16, 540.9352902424306];[5, 546.2883620592338];[0, 551.8095695825493];[6, 557.5596535850374];[15, 562.8664226688112];[3, 568.126126242074];[14, 573.9589688385182];[8, 580.8720443184609];[7, 604.3932518417764],
