ID,Name,OpeningTime,ClosingTime,Popularity,PosX,PosY,PeakTime,Sigma
0,Cafe Bulten,180,600,120,52,-52,200,40
1,J.A. Pripps,0,600,60,-33,-61,5,30
2,Wijkanders,0,420,40,13,-171,5,40
3,Gasque,300,600,75,-21,-52,350,50
4,Cafe C (Lindholmen),0,270,60,-120,100,0,42
5,Kajsabaren,120,600,120,58,-9,150,62
6,Roda Rummet,240,720,60,4,-12,260,31
7,V-entren,240,720,90,0,0,300,80
8,Basen,240,600,90,43,6,280,70
9,Golden-I,240,720,75,6,-189,260,60
10,Focus,240,720,75,0,-128,320,50
11,Hubben 2.2,120,660,45,61,-24,550,45
12,Fort NOx,240,600,60,25,21,480,55
13,Gastown \& Spritkoket,240,600,60,55,-116,500,62
14,Winden,240,720,60,46,-70,350,49
15,Jarnvagspub,180,600,75,-9,-34,220,52
16,Zaloonen,240,600,60,67,-37,290,30
17,11an,0,270,60,-100,120,100,25
18,Kalle Glader,210,570,60,3,-156,220,40
