[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[12, 253.19449998045351];[17, 271.48244355515476];[11, 294.4826364553557];[16, 6232.654519061157];[0, 726237.9091793665];[14, 1446243.1369544682];[13, 2166248.6996455435];[6, 2886255.090183053];[15, 3606260.396952137];[3, 4326265.65665571];[10, 5046271.603209792];[18, 5766276.941268083];[8, 6486283.944451937];[5, 7206289.199112243];[4, 7926311.592637539];[7, 8646329.609720333],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[9, 249.91342187950687];[11, 257.0013603105904];[13, 265.1081483606856];[12, 273.79177635672477];[3, 2652.827603648735];[15, 722658.0873072221];[6, 1442663.394076306];[5, 2162669.043335239];[16, 2882674.3964070557];[0, 3602679.6510673612];[14, 4322684.878842463];[8, 5042690.791917942];[10, 5762697.481356579];[18, 6482702.819414871];[17, 7202732.3688264955];[7, 7922750.385909289],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[4, 244.315749655774];[17, 249.65529672957305];[11, 272.655489629774];[12, 282.3473037730741];[13, 301.03093176911324];[10, 7285.706728549188];[3, 727291.6532826303];[15, 1447296.9129862036];[8, 2167302.7005597674];[5, 2887307.9552200725];[14, 3607313.701548094];[0, 4327318.9293231955];[16, 5047324.183983501];[6, 5767329.9976576045];[9, 6487337.122643188];[7, 7207344.392693778],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[15, 198.18062063275107];[11, 204.02948831724873];[4, 229.31294319378185];[12, 258.07329283404255];[13, 266.7569208300817];[14, 1689.3196119054844];[0, 721694.547387007];[16, 1441699.8020473123];[18, 2161706.424117739];[10, 2881711.7621760303];[3, 3601717.7087301114];[5, 4321723.788495145];[8, 5041729.04315545];[6, 5761734.558803268];[9, 6481741.683788851];[7, 7201748.953839441],
[2, 0];[1, 6.43134295901934];[3, 304.61141498783087];[11, 310.65161566117706];[13, 372.75840371127225];[0, 379.527554658674];[18, 387.90768925806873];[6, 395.6364224174968];[5, 405.2856813506536];[16, 413.6387531674568];[15, 426.5518286473995];[8, 1437.3394022112343];[14, 721443.2524776912];[10, 1441449.1411574283];[9, 2161454.876984219];[12, 2881462.4082900053];[17, 3601480.69623358];[4, 4321486.035780653];[7, 5041504.052863447],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[16, 244.46815451669923];[12, 250.3278190444288];[4, 269.0881686846895];[2, 371.2446235665329];[0, 378.74795840977913];[18, 387.1280930091739];[6, 394.85682616860197];[5, 404.50608510175874];[15, 423.3645753384349];[3, 2983.6242789116977];[14, 722989.4571215082];[13, 1442995.0198125835];[10, 2163000.6956093637];[9, 2883006.4314361545];[8, 3603013.8141398528];[7, 4323019.335347376],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[11, 310.47050038716117];[2, 319.3269023994819];[13, 410.1576659181756];[18, 415.94523948201027];[0, 422.325374081405];[6, 428.07545808389307];[5, 433.72471701704984];[15, 440.583207253726];[16, 446.4962827336687];[14, 1314.9658531350037];[12, 721321.0870013756];[8, 1441326.3682828764];[17, 2161346.6082613687];[10, 2881373.8917879197];[9, 3601379.6276147105];[7, 4321386.8976653],
[17, 0];[1, 21.083549221348985];[3, 304.2636212501605];[11, 310.3038219235067];[2, 319.16022393582745];[0, 466.6635587790737];[6, 472.41364278156175];[16, 478.22731688493894];[18, 484.8493873115842];[15, 491.32104089340623];[5, 497.1795311300824];[9, 507.4287581992071];[10, 519.1645849901181];[14, 540.0532647271324];[8, 554.9663402070751];[12, 2929.247621708008];[4, 722948.0079713482];[13, 1442976.1741883704];[7, 2162982.715344998],
[2, 0];[1, 6.43134295901934];[14, 245.38585683089852];[17, 270.3538868344372];[11, 293.35407973463816];[13, 322.46086778473335];[0, 438.2300187321351];[15, 444.99352790938156];[18, 451.46518149120357];[6, 458.19391465063165];[5, 463.8431735837884];[16, 469.19624540059164];[9, 493.1624325979697];[10, 516.8982593888808];[8, 552.5876980251301];[3, 560.6245682715497];[12, 2614.66039556356];[4, 722633.4207452039];[7, 1442651.437827997],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[10, 245.05417375168204];[4, 271.5250843052659];[11, 294.808539181799];[13, 325.9153272318942];[0, 415.6844781792959];[5, 422.20568570261145];[6, 427.8549446357682];[18, 434.5836777951963];[15, 442.0553313770183];[16, 447.968406856961];[9, 509.9345940543391];[3, 561.6108874409575];[14, 567.4437300374018];[8, 574.3568055173445];[12, 1956.6380870182775];[7, 721962.0300396646],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[10, 245.05417375168204];[4, 271.5250843052659];[11, 294.808539181799];[13, 325.9153272318942];[0, 415.6844781792959];[15, 427.4479873565424];[6, 432.75475644031627];[5, 438.40401537347304];[16, 443.75708719027625];[18, 450.37915761692153];[9, 503.77694973038564];[8, 565.1596534285333];[14, 571.0727289084759];[3, 576.9055715049202];[12, 1852.9413987969301];[7, 721858.3333514433],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[13, 245.345655699062];[4, 273.5118727210773];[11, 296.79532759761037];[12, 325.48714174091043];[18, 517.628342118663];[6, 524.3570752780911];[10, 531.7504599723093];[15, 537.8840718349289];[16, 543.7971473148716];[0, 549.0518076202209];[14, 555.2795827217936];[5, 561.0259107430359];[9, 568.2751378121606];[3, 574.951431198779];[8, 581.9883014451987];[7, 605.5095089685142],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[13, 245.51233416271643];[17, 274.04142372341886];[11, 297.0416166236198];[12, 325.73343076691987];[18, 514.8746311446724];[6, 521.6033643041005];[10, 529.9967489983187];[15, 536.1303608609384];[16, 542.043436340881];[9, 549.0096235382591];[5, 556.2588506073838];[14, 562.005178628626];[0, 567.2329537301988];[3, 573.1093042704149];[8, 580.1461745168345];[7, 604.6673820401501],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[13, 245.51233416271643];[17, 274.04142372341886];[11, 297.0416166236198];[12, 325.73343076691987];[18, 514.8746311446724];[6, 521.6033643041005];[9, 528.7283498872264];[5, 535.9775769563511];[15, 541.8360671930272];[16, 547.7491426729699];[0, 553.0038029783192];[14, 559.231578079892];[3, 566.0644206763362];[10, 572.010974757384];[8, 579.7004133936333];[7, 604.2216209169488],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[13, 245.51233416271643];[17, 274.04142372341886];[11, 297.0416166236198];[12, 325.73343076691987];[18, 514.8746311446724];[6, 521.6033643041005];[9, 528.7283498872264];[16, 535.6945370846045];[0, 540.9491973899537];[10, 547.0546825696148];[15, 553.1882944322344];[5, 559.0467846689106];[14, 564.7931126901528];[3, 570.6259552865971];[8, 577.6628255330168];[7, 604.1840330563323],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[13, 245.51233416271643];[17, 274.04142372341886];[11, 297.0416166236198];[12, 325.73343076691987];[18, 514.8746311446724];[6, 521.6033643041005];[9, 528.7283498872264];[16, 535.6945370846045];[10, 542.0511328192039];[15, 548.1847446818235];[5, 554.0432349184997];[0, 559.5644424418152];[14, 564.792217543388];[3, 570.6250601398323];[8, 577.6619303862519];[7, 604.1831379095674],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[13, 245.51233416271643];[17, 274.04142372341886];[11, 297.0416166236198];[12, 325.73343076691987];[18, 514.8746311446724];[6, 521.6033643041005];[9, 528.7283498872264];[5, 535.9775769563511];[0, 541.4987844796666];[16, 546.7534447850159];[15, 552.6665202649585];[10, 558.8001321275782];[14, 564.6888118645925];[3, 570.5216544610367];[8, 577.5585247074564];[7, 604.0797322307719],
