[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[11, 310.47050038716117];[2, 319.3269023994819];[13, 410.1576659181756];[16, 417.1169239614396];[15, 428.0299994413823];[5, 433.8884896780585];[0, 439.409697201374];[6, 445.15978120386205];[18, 451.88851436329014];[9, 502.28630647675425];[10, 517.0221332676653];[14, 539.9108130046795];[8, 554.8238884846222];[12, 2938.105169985555];[17, 722956.3931135603];[7, 1442974.4101963534],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[2, 314.91603642591303];[11, 321.7724384382338];[13, 423.879226488329];[5, 430.16424506951745];[15, 438.0227353061936];[18, 444.49438888801564];[16, 451.1164593146609];[0, 456.37111962001023];[6, 462.1212036224983];[9, 494.2461892056241];[10, 516.9820159965351];[8, 552.6714546327844];[14, 559.5845301127271];[12, 2671.70567835341];[17, 722689.9936219282];[7, 1442708.0107047213],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[0, 530.3355454310491];[10, 537.4410306107102];[15, 543.5746424733298];[16, 549.4877179532725];[14, 555.9572883546076];[5, 561.7036163758498];[3, 567.7833814093082];[6, 573.3496467833812];[8, 579.8652946007861];[9, 587.2479982989337];[7, 608.5180488885115],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[6, 529.7539598592173];[9, 536.8789454423431];[10, 542.6147722332541];[0, 548.7202574129152];[3, 556.5966079531313];[14, 562.4294505495756];[5, 568.1757785708178];[16, 573.528850387621];[8, 580.1200183229029];[7, 604.6412258462184],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[10, 535.1588456041643];[6, 541.5522302983825];[5, 547.2014892315393];[14, 553.9478172527815];[3, 560.7806598492258];[16, 566.852319580629];[0, 572.1069798859783];[8, 578.8115911988632];[7, 604.3327987221787],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[0, 529.4053612991839];[9, 536.140252476273];[6, 543.2652380593988];[16, 549.0789121627761];[5, 554.4319839795793];[10, 561.0212039429495];[14, 566.9098836799637];[3, 572.742726276408];[8, 579.7795965228277];[7, 604.3008040461432],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[10, 535.1588456041643];[0, 541.2643307838254];[5, 546.7855383071409];[16, 552.1386101239441];[6, 557.9522842273213];[14, 563.8119487550509];[3, 569.6447913514952];[8, 576.6816615979149];[7, 604.2028691212304],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[16, 535.3892060106314];[6, 541.2028801140086];[5, 546.8521390471655];[10, 553.4413590105356];[0, 559.5468441901967];[14, 564.7746192917695];[3, 570.6074618882137];[8, 577.6443321346334];[7, 604.1655396579489],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[10, 529.3632849912736];[9, 535.0991117821847];[16, 542.0652989795627];[0, 547.319959284912];[5, 552.8411668082275];[14, 559.5874948294697];[3, 566.420337425914];[8, 574.4572076723337];[6, 579.9728554897385];[7, 604.1247055574537],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[16, 529.6472971264345];[5, 535.0003689432377];[0, 540.5215764665533];[10, 546.6270616462143];[9, 552.3628884371253];[3, 561.0391818237438];[8, 569.0760520701634];[14, 574.9891275501061];[6, 580.8487920778357];[7, 604.0006421455508],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[0, 535.1579099903423];[5, 540.6791175136578];[16, 546.032189330461];[10, 552.3887850650605];[14, 559.2774648020747];[3, 566.110307398519];[8, 574.1471776449387];[6, 579.6628254623436];[7, 603.8146755300587],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[5, 529.9094070362779];[9, 537.1586341054026];[10, 542.8944608963136];[16, 549.251056630913];[0, 554.5057169362623];[3, 561.3820674764784];[14, 567.2149100729226];[8, 574.1279855528653];[6, 579.6436333702702];[7, 603.7954834379854],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[10, 535.1588456041643];[0, 541.2643307838254];[16, 546.5189910891746];[14, 552.9885614905097];[5, 558.7348895117519];[8, 566.9895498171012];[3, 573.0264200635208];[6, 578.5926854375939];[7, 603.744535505309],
