[4, 0];[2, 45.9859408862011];[1, 52.41728384522044];[3, 304.59735587403196];[0, 310.47370641424806];[11, 315.82677823105126];[5, 656.0104163888037];[14, 661.7567444100459];[10, 667.6454241470602];[7, 674.1820387929185];[9, 681.4520893824964];[6, 688.5770749656223];[15, 7893.883844049396];[12, 15099.660082376424];[8, 22304.941363877355];[16, 29510.532531812638];[13, 36716.4917898559];[18, 43922.27936341974];[17, 51167.767139670585],
[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[0, 310.7081880674817];[11, 316.0612598842849];[2, 323.91766189660564];[18, 534.1340815409912];[10, 539.4721398324757];[15, 545.6057516950954];[16, 551.518827175038];[6, 557.3325012784153];[14, 563.1921658061449];[5, 568.9384938273871];[9, 576.1877208965118];[8, 584.5704245946594];[7, 606.0916321179749];[12, 7811.483584764249];[13, 15018.167212760287];[17, 22263.751776499645],
[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[11, 310.87203820061177];[0, 316.225110017415];[2, 323.7284448606612];[18, 535.9448645050468];[10, 541.2829227965312];[9, 547.0187495874422];[14, 554.5258662906812];[5, 560.2721943119234];[6, 565.9214532450802];[15, 571.228222328854];[16, 577.1412978087967];[8, 583.7324657440786];[7, 605.2536732673941];[12, 7810.6456259136685];[13, 15017.329253909707];[17, 22262.913817649067],
[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[17, 291.46139827809276];[0, 336.48222111748464];[11, 341.83529293428785];[5, 447.0189310920403];[6, 452.6681900251971];[16, 458.4818641285743];[15, 464.39493960851695];[18, 470.86659319033896];[10, 555.2046514818235];[3, 562.1512055628713];[14, 567.9840481593155];[8, 574.8971236392582];[7, 604.4183311625737];[12, 7809.810283808848];[13, 15016.493911804886];[4, 22261.357175715344],
[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[12, 253.19449998045351];[17, 297.37494408389574];[0, 342.3957669232876];[11, 347.74883874009083];[6, 462.44811201160155];[5, 468.0973709447583];[15, 473.9558611814345];[16, 479.8689366613772];[18, 486.49100708802246];[10, 520.8290653795069];[14, 539.7177451165212];[3, 550.5505877129655];[8, 561.5874579593851];[7, 609.1086654827006];[13, 7815.649822110358];[4, 15060.513086020817],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[5, 523.9389994099961];[9, 531.1882264791208];[15, 538.0576636342705];[6, 543.3644327180443];[10, 549.7578174122625];[14, 556.6464971492768];[16, 562.1160675506119];[3, 568.1877272820151];[8, 575.2245975284347];[7, 604.7458050517503];[13, 7811.286961679409],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[5, 523.9389994099961];[15, 529.7974896466723];[9, 536.666926801822];[16, 543.6331139992001];[10, 549.9897097337995];[14, 556.8783894708138];[3, 563.711232067258];[6, 569.2774974413311];[8, 575.793145258736];[7, 604.3143527820515];[13, 7810.855509409709],
[17, 0];[2, 46.70066941151359];[1, 53.13201237053293];[15, 227.56568324371872];[11, 233.41455092821639];[13, 245.52133897831158];[12, 252.2049669743507];[4, 303.6569546956496];[0, 347.9524343939332];[5, 426.4736419172487];[16, 431.8267137340519];[6, 437.6403878374291];[18, 444.3691209968572];[9, 515.7669131103213];[10, 524.5027399012323];[14, 540.3914196382466];[3, 551.2242622346909];[8, 561.2611324811105];[7, 609.782340004426],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[6, 470.5774803439244];[16, 476.3911544473016];[15, 482.30422992724425];[5, 488.1627201639204];[9, 500.4119472330451];[10, 517.1477740239561];[14, 540.0364537609704];[3, 550.8692963574147];[8, 561.9061666038343];[7, 609.4273741271498],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[5, 470.47196141527075];[6, 476.1212203484275];[15, 481.4279894322014];[16, 487.3410649121441];[9, 499.30725210952215];[10, 517.0430789004332];[14, 539.9317586374475];[3, 550.7646012338918];[8, 561.8014714803114];[7, 609.322679003627],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[13, 325.89469646852785];[0, 331.6638474159296];[12, 494.59821902324245];[15, 500.374457350269];[16, 506.28753283021166];[6, 512.1012069335889];[9, 520.2261925167147];[5, 527.4754195858394];[10, 535.0646395492096];[14, 544.9533192862239];[3, 553.7861618826681];[8, 563.8230321290878];[7, 608.3442396524033],
[17, 0];[2, 46.70066941151359];[1, 53.13201237053293];[15, 227.56568324371872];[11, 233.41455092821639];[12, 245.10636507151645];[13, 252.78999306755557];[4, 305.6532569780146];[0, 349.9487366762982];[5, 421.46994419961374];[6, 427.1192031327705];[18, 433.8479362921986];[16, 440.4700067188439];[9, 528.4361939162219];[10, 535.1720207071329];[14, 545.0607004441472];[3, 553.8935430405915];[8, 563.9304132870111];[7, 607.4516208103266],
[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[15, 470.4356730740771];[16, 476.3487485540198];[5, 481.701820370823];[6, 487.35107930397976];[9, 499.47606488710557];[10, 516.2118916780166];[8, 552.901330314266];[14, 559.8144057942087];[3, 566.647248390653];[7, 606.320481278663],
