1;2;10;4;11;0;5;13;9;6;7;15;12;14;3;16;8,(1, 0);(2, 119.23086848631104);(10, 273.8691561126295);(4, 289.1662146534079);(11, 333.7644208953634);(0, 411.5975757845236);(5, 474.07957319177683);(13, 545.6896283516495);(9, 619.7166504449365);(6, 747.7166504449365);(7, 1000791.1332371371);(15, 2000840.3775261461);(12, 3000920.28372115);(14, 4001024.3029501415);(3, 5001045.9362577945);(16, 6001152.669570307);(8, 7001185.805653359),7001185.805653359
1;2;10;4;12;16;7;6;5;13;0;15;11;14;3;9;8,(1, 0);(2, 119.23086848631104);(10, 273.8691561126295);(4, 289.1662146534079);(12, 396.2082624664052);(16, 461.8131403338321);(7, 628.6783554027613);(6, 672.0949420949462);(5, 684.7440527356197);(13, 756.3541078954923);(0, 1000775.3277738566);(15, 2000796.5409772922);(11, 3000868.151032452);(14, 4000932.811685093);(3, 5000954.444992746);(9, 6001033.292947697);(8, 7001094.587319381),7001094.587319381
2;1;10;13;12;11;4;14;3;5;6;9;16;8;0;15;7,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(13, 287.63455013932105);(12, 334.5067167203529);(11, 474.75292879041206);(4, 519.3511350323676);(14, 590.863371747492);(3, 612.496679400276);(5, 659.666585060559);(6, 672.3156957012325);(9, 800.3156957012325);(16, 1000828.475951382);(8, 2000861.6120344335);(0, 3001006.128469485);(15, 4001027.3416729206);(7, 5001076.5859619295),5001076.5859619295
2;1;10;15;4;12;5;6;7;0;13;8;16;9;3;14;11,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(15, 274.56848958898564);(4, 303.97937192869114);(12, 411.0214197416884);(5, 526.8531943115361);(6, 539.5023049522096);(7, 582.9188916443944);(0, 641.6130140077112);(13, 660.5866799687215);(8, 786.12950134852);(16, 1000819.2655844);(9, 2000847.4258400807);(3, 3000926.273795032);(14, 4000947.9071026845);(11, 5001012.567755326),5001012.567755326
2;1;10;15;4;11;14;0;13;9;16;3;6;5;7;12;8,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(15, 274.56848958898564);(4, 303.97937192869114);(11, 348.57757817064663);(14, 413.2382308119555);(0, 476.83854527658684);(13, 495.8122112375971);(9, 569.8392333308841);(16, 597.9994890115415);(3, 704.7328015245522);(6, 760.813101095792);(5, 1000773.4622117365);(7, 2000816.4156749262);(12, 3000939.004418292);(8, 4001026.9248368535),4001026.9248368535
1;2;10;4;11;14;7;5;6;0;15;13;8;16;9;12;3,(1, 0);(2, 119.23086848631104);(10, 273.8691561126295);(4, 289.1662146534079);(11, 333.7644208953634);(14, 399.42507353667224);(7, 466.02995140409917);(5, 508.9834145939282);(6, 521.6325252346018);(0, 595.1716304780027);(15, 616.3848339135991);(13, 655.500048344815);(8, 781.0428697246135);(16, 1000814.1789527761);(9, 2000842.3392084567);(12, 3000898.6330802366);(3, 4000997.9910190236),4000997.9910190236
1;2;10;11;0;15;4;14;3;7;5;6;13;12;9;16;8,(1, 0);(2, 119.23086848631104);(10, 273.8691561126295);(11, 331.49727424952516);(0, 409.33042913868536);(15, 431.5436325742818);(4, 460.9545149139873);(14, 532.4667516291117);(3, 554.1000592818957);(7, 640.4713508086525);(5, 683.4248139984816);(6, 696.073924639155);(13, 779.8354910046428);(12, 1000826.7076575856);(9, 2000883.0015293658);(16, 3000911.1617850466);(8, 4000944.297868098),4000944.297868098
1;2;10;11;4;0;7;6;5;14;3;9;8;16;12;13;15,(1, 0);(2, 119.23086848631104);(10, 273.8691561126295);(11, 331.49727424952516);(4, 376.09548049148066);(0, 419.51206718366547);(7, 478.2061895469822);(6, 521.622776239167);(5, 534.2718868798405);(14, 559.8257515582018);(3, 581.4590592109857);(9, 660.3070141622716);(8, 721.6013858451594);(16, 1000754.7374688967);(12, 2000820.3423467642);(13, 3000867.214513345);(15, 4000906.3297277763),4000906.3297277763
2;1;10;15;4;11;14;6;7;13;0;3;5;8;16;9;12,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(15, 274.56848958898564);(4, 303.97937192869114);(11, 348.57757817064663);(14, 413.2382308119555);(6, 449.4092416020934);(7, 492.8258282942782);(13, 568.8850157735039);(0, 587.8586817345142);(3, 660.8586817345142);(5, 708.0285873947972);(8, 885.0398864691783);(16, 1000918.1759695207);(9, 2000946.3362252014);(12, 3001002.6300969813),3001002.6300969813
2;1;10;15;4;0;11;14;3;5;6;7;13;8;16;9;12,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(15, 274.56848958898564);(4, 303.97937192869114);(0, 350.39595862087594);(11, 428.22911351003614);(14, 492.889766151345);(3, 514.5230738041289);(5, 561.6929794644119);(6, 574.3420901050854);(7, 617.7586767972703);(13, 693.8178642764959);(8, 819.3606856562944);(16, 1000852.4967687079);(9, 2000880.6570243887);(12, 3000936.950896169),3000936.950896169
