[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[4, 244.315749655774];[11, 267.5992045323071];[12, 276.2910186756072];[13, 290.9746466716463];[14, 3200.537337747049];[0, 723205.7651128486];[16, 1443211.019773154];[15, 2163216.932848634];[6, 2883222.239617718];[8, 3603227.7552655353];[5, 4323233.00992584];[10, 5043239.599145804];[3, 5763245.545699885];[9, 6483252.221993271];[17, 7203284.444966617];[7, 7923302.46204941],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[11, 310.47050038716117];[2, 319.3269023994819];[18, 598.5433220438675];[14, 604.6975948293716];[6, 610.5572593571012];[9, 617.6822449402271];[10, 623.4180717311381];[13, 720629.0938685111];[16, 1440635.0531265545];[8, 2160640.6442944896];[12, 2880645.9255759907];[15, 3600651.7018143176];[0, 4320657.465323495];[5, 5040662.986531018];[17, 5760684.984284137];[7, 6480703.00136693],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[2, 314.91603642591303];[11, 321.7724384382338];[13, 423.879226488329];[15, 433.1279567283238];[16, 439.0410322082665];[18, 445.66310263491175];[5, 452.5472829714004];[0, 458.06849049471595];[6, 463.818574497204];[9, 493.9435600803298];[10, 516.6793868712408];[14, 540.5680666082551];[8, 554.4811420881978];[12, 2957.762423589131];[17, 722976.0503671638];[7, 1442994.0674499571],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[11, 310.47050038716117];[2, 319.3269023994819];[13, 410.1576659181756];[0, 415.92681686557734];[16, 421.18147717092666];[18, 427.80354759757194];[5, 434.6877279340606];[6, 440.3369868672174];[15, 445.64375595099125];[9, 514.513193106141];[10, 523.249019897052];[14, 540.1376996340663];[8, 555.050775114009];[12, 2924.332056614942];[17, 722942.6200001896];[7, 1442960.6370829828],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[5, 556.827220923716];[0, 562.3484284470316];[16, 567.6030887523808];[9, 574.5692759497589];[3, 581.2455693363773];[6, 586.8118347104504];[10, 593.2052194046686];[14, 599.0938991416829];[8, 605.0069746216255];[18, 720612.0101584761];[7, 1440618.883253836],
[4, 0];[1, 20.25022768500341];[11, 125.46295037455201];[12, 245.15476451785207];[17, 263.44270809255335];[2, 399.4568602238666];[16, 413.19121136992743];[0, 418.44587167527675];[6, 424.1959556777648];[5, 429.8452146109216];[15, 437.70370484759775];[18, 444.17535842941976];[9, 516.5731505428839];[10, 525.3089773337949];[3, 547.2555314148428];[14, 554.0883740112871];[8, 564.0014494912298];[13, 4091.473103073052];[7, 724098.0142597008],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[10, 529.3632849912736];[5, 535.9525049546438];[9, 543.2017320237685];[6, 550.3267176068944];[3, 557.8929829809674];[16, 563.9646427123706];[14, 569.4342131137057];[8, 576.3472885936484];[0, 582.0518999065333];[7, 604.9347222984109],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[0, 535.1579099903423];[6, 540.9079939928304];[5, 546.5572529259872];[16, 551.9103247427904];[10, 558.2669204773898];[3, 565.2134745584376];[14, 571.0463171548819];[8, 577.9593926348246];[7, 604.4806001581401],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[0, 535.1579099903423];[6, 540.9079939928304];[14, 549.76765852056];[16, 555.237228921895];[10, 561.5938246564945];[3, 567.5403787375423];[5, 573.6201437710006];[8, 579.8748040763498];[7, 604.3960115996654],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[9, 528.4230188132533];[5, 535.672245882378];[16, 541.0253176991812];[10, 547.3819134337806];[0, 553.4873986134417];[14, 559.7151737150144];[3, 566.5480163114587];[8, 574.5848865578783];[6, 580.1005343752832];[7, 604.2523844429984],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 223.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[6, 529.7539598592173];[16, 535.5676339625945];[10, 541.9242296971939];[9, 547.6600564881049];[5, 554.9092835572296];[0, 560.4304910805452];[14, 565.6582661821179];[3, 571.4911087785622];[8, 578.5279790249818];[7, 604.0491865482974],
