[4, 0];[17, 5.026841665912969];[1, 25.28396345691596];[2, 31.7153064159353];[11, 126.57170842825606];[5, 131.7553465860085];[0, 185.27655410932405];[15, 191.04006328657053];[12, 244.81630161359703];[13, 251.49992960963615];[8, 257.9715831914582];[6, 263.4872310088631];[10, 269.8806157030813];[14, 275.7692954400955];[16, 281.23886584143065];[9, 288.2050530388087];[18, 293.60284515227283];[3, 305.884157427339];[7, 311.5573903153491],
[1, 0];[2, 6.43134295901934];[17, 36.10879952627304];[4, 41.13564119218601];[11, 141.4796300078696];[5, 146.66326816562204];[0, 185.1844756889376];[15, 190.94798486618407];[18, 216.4196384480061];[12, 246.5608388257587];[16, 252.42050335348827];[14, 257.8900737548234];[8, 263.80314923476607];[13, 270.2748028165881];[10, 275.9505995966619];[9, 281.6864263875729];[6, 288.8114119706987];[3, 305.37767734477177];[7, 311.05091023278186],
[1, 0];[2, 6.43134295901934];[4, 35.29517367697355];[17, 40.322015342886516];[11, 141.39729714544868];[5, 146.58093530320113];[18, 216.46511563968983];[0, 222.84525023908458];[15, 228.60875941633105];[14, 245.39788683191543];[9, 251.90500353515432];[13, 257.96047074477417];[12, 264.6440987408133];[8, 269.9253802417463];[6, 275.4410280591512];[10, 281.8344127533694];[16, 288.1910084879688];[3, 305.262668219372];[7, 310.9359011073821],
[1, 0];[2, 6.43134295901934];[4, 35.29517367697355];[17, 40.322015342886516];[11, 141.39729714544868];[5, 146.58093530320113];[0, 185.10214282651668];[15, 190.86565200376316];[8, 245.65322556759781];[12, 250.93450706853082];[6, 256.40407746986597];[14, 262.2637419975955];[9, 268.77085870083437];[18, 274.1686508142985];[10, 279.50670910578293];[13, 285.18250588585676];[16, 291.14176392912077];[3, 305.213423660524];[7, 310.88665654853406],
[17, 0];[4, 5.026841665912969];[5, 140.5266285079582];[11, 145.71026666571066];[1, 151.92298935525926];[2, 158.3543323142786];[15, 186.02006076666135];[0, 191.78356994390782];[13, 245.55272089130958];[16, 251.5119789345736];[6, 257.3256530379508];[10, 263.719037732169];[18, 269.05709602365346];[9, 274.45488813711756];[8, 281.8375918352652];[12, 287.1188733361982];[14, 293.2400215768811];[3, 305.07286417332534];[7, 310.74609706133543],
[17, 0];[4, 5.026841665912969];[1, 24.49346081374229];[2, 30.924803772761628];[5, 126.94321764107406];[11, 132.1268557988265];[0, 184.4799276156297];[15, 190.24343679287617];[16, 245.15651227281884];[14, 250.62608267415396];[8, 256.53915815409664];[12, 261.82043965502965];[13, 268.5040676510688];[10, 274.1798644311426];[9, 279.9156912220536];[18, 285.31348333551773];[6, 292.0422164949458];[3, 304.6084818690189];[7, 310.28171475702896],
[4, 0];[17, 5.026841665912969];[11, 141.10212346847513];[5, 146.28576162622758];[2, 153.30417549454];[1, 159.73551845355934];[15, 185.16918932674514];[0, 190.93269850399162];[16, 245.1873588093409];[10, 251.54395454394034];[9, 257.27978133485135];[13, 263.3352485444712];[14, 268.89793961987374];[12, 275.0190878605566];[8, 280.30036936148963];[18, 287.3035532158585];[6, 294.0322863752866];[3, 304.5985517493597];[7, 310.27178463736976],
[1, 0];[2, 6.43134295901934];[17, 36.10879952627304];[4, 41.13564119218601];[0, 202.28099042273598];[5, 207.80219794605154];[15, 213.6606881827277];[18, 220.13234176454975];[8, 246.13552561891865];[14, 252.04860109886133];[11, 257.62944001379066];[10, 264.07685276340067];[13, 269.7526495434745];[9, 275.80811675309434];[12, 283.3394225390444];[16, 289.1990870667739];[6, 295.0127611701511];[3, 304.5790265442241];[7, 310.2522594322342],
[1, 0];[2, 6.43134295901934];[4, 35.29517367697355];[17, 40.322015342886516];[5, 140.44636612817288];[11, 145.63000428592534];[0, 184.98307610272852];[15, 190.746585279975];[18, 216.21823886179703];[12, 246.35943923954963];[8, 251.64072074048264];[14, 257.55379622042534];[10, 263.44247595743957];[9, 269.1783027483506];[13, 275.2337699579704];[16, 281.19302800123444];[6, 287.00670210461163];[3, 304.57296747868463];[7, 310.2462003666947],
[17, 0];[4, 5.026841665912969];[15, 197.78200953464741];[5, 203.6404997713236];[11, 208.82413792907604];[2, 215.6805399413968];[0, 222.18387478464305];[18, 228.5640093840378];[13, 245.35158294787246];[8, 251.8232365296945];[14, 257.7363120096372];[16, 263.2058824109723];[10, 269.56247814557173];[9, 275.29830493648274];[6, 282.42329051960854];[12, 287.8928609209437];[1, 294.0986116560687];[3, 304.27868368488026];[7, 309.95191657289035],
