ID,Name,OpeningTime,ClosingTime,Popularity,PosX,PosY,PeakTime,Sigma
1,Cafe Bulten,180,600,120,2395,-2319,200,20
2,J.A. Pripps,0,600,30,2310,-2328,200,30
3,Wijkanders,0,420,30,2356,-2438,160,40
4,Gasque,300,600,75,2322,-2319,350,50
5,Cafe C (Lindholmen),0,270,60,61,-24,100,42
6,Kajsabaren,120,600,120,2401,-2276,150,62
7,Röda Rummet,240,720,60,2347,-2279,260,31
8,V-entrén,240,720,90,2343,-2267,300,80
9,Basen,240,600,90,2386,-2261,280,70
10,Golden-I,240,720,75,2349,-2456,260,60
11,Focus,240,720,75,2343,-2395,320,50
12,Hubben 2.2,120,660,45,2404,-2291,550,45
13,Fort NOx,240,600,60,2368,-2246,480,55
14,Gastown & Spritköket,240,600,60,2398,-2383,500,62
15,Winden,240,720,60,2389,-2337,350,49
16,Järnvägspub,180,600,75,2334,-2301,220,52
17,Zaloonen,240,600,60,2410,-2304,290,30
18,11:an,0,270,60,0,0,0,20
19,Kalle Glader,210,570,60,2346,-2423,220,40
