ID,OpeningTime,ClosingTime,Popularity,PosX,PosY
0,Velvet Tankard,484,368,9,358,884
1,Eccentric Haven,185,501,6,424,194
2,Whispering Willow,412,322,10,540,192
3,Posh Pint,401,481,14,725,760
4,Enchanted Emporium,254,474,7,987,180
5,Majestic Boudoir,111,570,19,704,662
6,Renaissance Sanctuary,169,171,9,931,995
7,Celestial Tavern,542,269,18,491,80
8,Opulent Den,614,317,9,544,770
9,Velvet Lounge,413,249,1,593,927
10,Moonlit Guild,428,696,11,458,924
11,Regal Quarters,606,625,13,8,0
12,Frosted Oasis,585,632,4,768,64
13,Radiant Boutique,250,581,14,845,962
14,Sable Hops,233,250,15,732,211
15,Gilded Manor,591,142,2,96,711
16,Nebula Nook,85,282,6,169,240
17,Ethereal Bastion,208,556,18,92,760
18,Frothy Phoenix,84,423,9,234,563
19,Grandiose Gallery,208,198,18,779,32
20,Enigmatic Enclave,374,321,11,466,101
21,Luminous Lounge,80,336,8,890,136
22,Silver Society,75,161,15,209,724
23,Cosmic Soiree,346,716,10,776,935
24,Imperial Pavilion,33,226,8,237,293
25,Enchanting Hollow,318,569,1,685,363
26,Sterling Salon,566,419,15,949,303
27,Whimsical Wharf,259,461,15,242,693
28,Ivory Atelier,539,576,2,788,439
29,Resplendent Refuge,109,160,17,977,729
30,Mystical Manor,371,462,1,218,546
31,Grand Goblet,198,675,14,852,653
32,Opalescent Oasis,139,542,18,100,893
33,Amber Anvil,191,231,8,476,94
34,Sovereign Salon,427,543,8,386,721
35,Plush Pavilion,413,371,10,403,476
36,Golden Grove,336,473,6,484,191
37,Velvet Vault,499,114,15,409,704
38,Noble Nest,92,231,2,442,900
39,Celestial Castle,491,299,18,432,207
40,Platinum Palace,534,394,16,519,564
41,Whimsy Wonders,48,196,2,663,68
42,Silken Sanctuary,223,654,6,62,303
43,Brazen Barrel,565,214,2,590,449
44,Mystic Mug,500,293,12,533,83
45,Ethereal Elixir,521,209,6,591,412
46,Whiskey Wonders,395,557,18,38,927
47,Sapphire Sip,572,167,5,706,39
48,Lush Lager,220,301,18,868,369
49,Crimson Cask,298,305,16,906,830
